,ConcernID,IssueID,IssueDescription,ConcernDescription,ResolutionDescription,Clause,keyword_corpus,Breach,Predicted_Breach
1059,COM-101378,COM-101378_2,misleading information,"Customer has recently opened an ANZ Travel card where he was informed he was able to check the balances whilst overseas via ATM. Customer was travelling to Thailand and was informed by their bank that due to security reasons, balances are no longer provided. Customer is unsatisfied about the misleading information, as well as the conversion loss he has incurred. Customer would like us to investigate further for him.","I apologised to customer for any inconvenience experienced, I advised customer his feedback will be addressed with the relevant business areas for internal review. I advised customer card is subject to the conversion differences which alters day to day. Given inconvenience caused to the customer I offered $275.00 to resolve complaint ? accepted. I advised customer to allow up to 2 business days for the funds. Case closed Kathirene.",14a,"Customer has recently opened an ANZ Travel card where he was informed he was able to check the balances whilst overseas via ATM. Customer was travelling to Thailand and was informed by their bank that due to security reasons, balances are no longer provided. Customer is unsatisfied about the misleading information, as well as the conversion loss he has incurred. Customer would like us to investigate further for him.misleading informationI apologised to customer for any inconvenience experienced, I advised customer his feedback will be addressed with the relevant business areas for internal review. I advised customer card is subject to the conversion differences which alters day to day. Given inconvenience caused to the customer I offered $275.00 to resolve complaint ? accepted. I advised customer to allow up to 2 business days for the funds. Case closed Kathirene.14a",1.0,0.0
1129,COM-101512,COM-101512_1,Customer charged late payment fees on the credit card that has been closed and paid out.,Customer charged late payment fees on the credit card that has been closed and paid out.,Compensated the customer $60.85 as a goodwill gesture.,33,Customer charged late payment fees on the credit card that has been closed and paid out.Customer charged late payment fees on the credit card that has been closed and paid out.Compensated the customer $60.85 as a goodwill gesture.33,1.0,0.0
1195,COM-101618,COM-101618_1,Customer was not offered a Frequent Flyer card at the branch when he made an application for a credit card at the branch.,Customer was not given the option of signing up for frequent flyer account when he went into the branch.,"30,000 points applied and $300.00 credit applied.",14a,"Customer was not given the option of signing up for frequent flyer account when he went into the branch.Customer was not offered a Frequent Flyer card at the branch when he made an application for a credit card at the branch.30,000 points applied and $300.00 credit applied.14a",1.0,0.0
1758,COM-102439,COM-102439_1,Fees charged on account customer believed was closed,"Customer very unhappy that he has been charged for a card he has not used , annual fee charged for over 5 years, card requested to be closed many times","Apologised to the customer for the frustration and inconvenience this has caused, arranged for credit card account to be closed, goodwill credit to OFI business account to resolve complaint",33,"Customer very unhappy that he has been charged for a card he has not used , annual fee charged for over 5 years, card requested to be closed many timesFees charged on account customer believed was closedApologised to the customer for the frustration and inconvenience this has caused, arranged for credit card account to be closed, goodwill credit to OFI business account to resolve complaint33",1.0,0.0
1850,COM-102567,COM-102567_1,mortgage account closed and title not returned,"Customers credit cards had some issue with one being advised it will closed and this did not eventuate, the other is attracting additional balance after he has paid it off. Client mortgage account was closed without notification. He also wants to know how to get the title back. Client wants to trade options on ANZ share investing but has been told this is not allowed by ATO, further explanation sought.",Letter to client addressing all concerns,33,"Customers credit cards had some issue with one being advised it will closed and this did not eventuate, the other is attracting additional balance after he has paid it off. Client mortgage account was closed without notification. He also wants to know how to get the title back. Client wants to trade options on ANZ share investing but has been told this is not allowed by ATO, further explanation sought.mortgage account closed and title not returnedLetter to client addressing all concerns33",1.0,0.0
1867,COM-102605,COM-102605_1,Simple Complaint actioned by BLR - Template 1 ? Poor Service - Individual,"Simple Complaint  Poor Service  I have been dealing with your 131314 call centre all week trying to sort out a refund that was placed into my closed ANZ savings account only to be met but the rudest/most unhelpful staff I have ever come across.       I was told completely different things by every person I spoke to with absolutely no offer to help me fix this issue I'm having, not even offering to look into it for me.       I rang and spoke to someone yesterday after I demanded I speak to someone higher than the rude call centre operator I was speaking to who told me they found and sorted this out for me only to be called again today by one of your staff to be told AGAIN that everything the last person told me was false and it was no longer happening.       I am absolutely dumbfounded at how you call this 'customer service'    Train your staff to know your product instead of using every excuse they can think of so that they don't have to put any effort into helping.       I am so glad I am no longer a customer of ANZ and I will never be one again in the future.",Simple Complaint actioned by BLR - Template 1 ? Poor Service - Individual,33,"Simple Complaint  Poor Service  I have been dealing with your 131314 call centre all week trying to sort out a refund that was placed into my closed ANZ savings account only to be met but the rudest/most unhelpful staff I have ever come across.       I was told completely different things by every person I spoke to with absolutely no offer to help me fix this issue I'm having, not even offering to look into it for me.       I rang and spoke to someone yesterday after I demanded I speak to someone higher than the rude call centre operator I was speaking to who told me they found and sorted this out for me only to be called again today by one of your staff to be told AGAIN that everything the last person told me was false and it was no longer happening.       I am absolutely dumbfounded at how you call this 'customer service'    Train your staff to know your product instead of using every excuse they can think of so that they don't have to put any effort into helping.       I am so glad I am no longer a customer of ANZ and I will never be one again in the future.Simple Complaint actioned by BLR - Template 1 ? Poor Service - IndividualSimple Complaint actioned by BLR - Template 1 ? Poor Service - Individual33",1.0,0.0
1974,COM-102760,COM-102760_1,FX account not closed,The customer has made several attempts to close his accounts but have been unsuccessful in doing so.,Accounts closed and apologised for the inconvenience caused.,33,The customer has made several attempts to close his accounts but have been unsuccessful in doing so.FX account not closedAccounts closed and apologised for the inconvenience caused.33,1.0,0.0
1983,COM-102766,COM-102766_1,personal loan not closed when requested,"Hi My CRN number 891615028. I have cleared my Personal Loan and made multiple calls to close this account and remove it from Internet banking. I have been advised it takes overnight once the account is cleared and the arrears paid, which was done immediately. Unfortunately the consultant has provided me with incorrect balance amount and I believe .33c was still remaining. On my 4th call, I was informed this will be adjusted and the personal loan account will be closed!. Did not happen till date. Surely, this can't be so difficult! It is certainly not rocket science to close an account after it is paid?       Please close the Personal Loan account ASAP","CA - 23 October 2017 - feedback provided to team and apologised for service experience. Offered $150 as good will gesture.   15/09/2017 - apologised to the customer and advised loan now closed and feedback passed on regarding account not closing when requested, email sent to advise account closure",33,"Hi My CRN number 891615028. I have cleared my Personal Loan and made multiple calls to close this account and remove it from Internet banking. I have been advised it takes overnight once the account is cleared and the arrears paid, which was done immediately. Unfortunately the consultant has provided me with incorrect balance amount and I believe .33c was still remaining. On my 4th call, I was informed this will be adjusted and the personal loan account will be closed!. Did not happen till date. Surely, this can't be so difficult! It is certainly not rocket science to close an account after it is paid?       Please close the Personal Loan account ASAPpersonal loan not closed when requestedCA - 23 October 2017 - feedback provided to team and apologised for service experience. Offered $150 as good will gesture.   15/09/2017 - apologised to the customer and advised loan now closed and feedback passed on regarding account not closing when requested, email sent to advise account closure33",1.0,1.0
2034,COM-102851,COM-102851_1,SURPLUS FUNDS NOT CREDITED,"***credit cards   Customer called to follow up surplus credit on her credit card account  She wants this credited to her OFI account asap   Customer is not happy she was ineligible for the bonus points- she claims someone misguided her at the time of applying for the credit card and then follow up calls on when points would be applied, were promising towards her receiving the points, but she did not qualify for them, as she had not met t&c's  She also would like to state she closed this account because we did not honour the bonus points",Apologised to customer for the poor service experience with card solutions  Advised feedback has been sent through to BU,33,"***credit cards   Customer called to follow up surplus credit on her credit card account  She wants this credited to her OFI account asap   Customer is not happy she was ineligible for the bonus points- she claims someone misguided her at the time of applying for the credit card and then follow up calls on when points would be applied, were promising towards her receiving the points, but she did not qualify for them, as she had not met t&c's  She also would like to state she closed this account because we did not honour the bonus pointsSURPLUS FUNDS NOT CREDITEDApologised to customer for the poor service experience with card solutions  Advised feedback has been sent through to BU33",1.0,0.0
2037,COM-102851,COM-102851_2,SURPLUS FUNDS NOT CREDITED,"***credit cards   Customer called to follow up surplus credit on her credit card account  She wants this credited to her OFI account asap   Customer is not happy she was ineligible for the bonus points- she claims someone misguided her at the time of applying for the credit card and then follow up calls on when points would be applied, were promising towards her receiving the points, but she did not qualify for them, as she had not met t&c's  She also would like to state she closed this account because we did not honour the bonus points",Apologised to customer for the poor service experience with card solutions  Advised feedback has been sent through to BU,33,"***credit cards   Customer called to follow up surplus credit on her credit card account  She wants this credited to her OFI account asap   Customer is not happy she was ineligible for the bonus points- she claims someone misguided her at the time of applying for the credit card and then follow up calls on when points would be applied, were promising towards her receiving the points, but she did not qualify for them, as she had not met t&c's  She also would like to state she closed this account because we did not honour the bonus pointsSURPLUS FUNDS NOT CREDITEDApologised to customer for the poor service experience with card solutions  Advised feedback has been sent through to BU33",1.0,0.0
2100,COM-102955,COM-102955_1,Confirmation on account closed,"Unable to locate customer or identify customer.  customer wants to ensure all her accounts are closed, she is currently overseas.","Before you can re-access your account information, you?ll need to identify yourself by completing our Customer Identification Process (CIP). This means you?ll need to visit your nearest ANZ Branch with photo identification. At our Branch, you will be able to set up a new password for your accounts, so as we can continue to help you over the phone.   I was unable to contact you to discuss the issues.  To further assist you please provide me with the below details.  ?	Since you stated you received a statement recently, are you able provide an account number ? ?	Your Full Name (including any middle name) and your maiden name. ?	Date of Birth . ?	Contact numbers, current address and old address. ?	Please email me a copy of your Birth Certificate or certified copies of your Driver?s Licence or Passport.  Please email the required details to yourfeedback@anz.com , quoting reference number on the subject line.  Upon receiving the above details I will do my best to further assist you with your concerns.",33,"Unable to locate customer or identify customer.  customer wants to ensure all her accounts are closed, she is currently overseas.Confirmation on account closedBefore you can re-access your account information, you?ll need to identify yourself by completing our Customer Identification Process (CIP). This means you?ll need to visit your nearest ANZ Branch with photo identification. At our Branch, you will be able to set up a new password for your accounts, so as we can continue to help you over the phone.   I was unable to contact you to discuss the issues.  To further assist you please provide me with the below details.  ?	Since you stated you received a statement recently, are you able provide an account number ? ?	Your Full Name (including any middle name) and your maiden name. ?	Date of Birth . ?	Contact numbers, current address and old address. ?	Please email me a copy of your Birth Certificate or certified copies of your Driver?s Licence or Passport.  Please email the required details to yourfeedback@anz.com , quoting reference number on the subject line.  Upon receiving the above details I will do my best to further assist you with your concerns.33",1.0,0.0
2202,COM-103093,COM-103093_1,Rewards Fee Charged,Customer states he is not happy with the Rewards fee he has been charged on his on his ANZ Rewards Platinum credit card account. Customer states he had contacted ANZ to close the account so he did not get charged the fee and was advised the annual fee would be waived but was not clearly explained that the Annual Fee did not include the Rewards fee. Customer has requested for the fee to be reversed.,Customer states he is not happy with the Rewards fee he has been charged on his on his ANZ Rewards Platinum credit card account. Customer states he had contacted ANZ to close the account so he did not get charged the fee and was advised the annual fee would be waived but was not clearly explained that the Annual Fee did not include the Rewards fee. Customer has requested for the fee to be reversed.,14a,Customer states he is not happy with the Rewards fee he has been charged on his on his ANZ Rewards Platinum credit card account. Customer states he had contacted ANZ to close the account so he did not get charged the fee and was advised the annual fee would be waived but was not clearly explained that the Annual Fee did not include the Rewards fee. Customer has requested for the fee to be reversed.Rewards Fee ChargedCustomer states he is not happy with the Rewards fee he has been charged on his on his ANZ Rewards Platinum credit card account. Customer states he had contacted ANZ to close the account so he did not get charged the fee and was advised the annual fee would be waived but was not clearly explained that the Annual Fee did not include the Rewards fee. Customer has requested for the fee to be reversed.14a,1.0,0.0
2246,COM-103159,COM-103159_1,Annual fee,Customer is disputing the annual fee of $240.00. She stated she was informed the fees will be $40.00 for the life of the account.,Apologised to customer and informed her the charges are valide. However as once off goodwill gesture I will apply a credit of $200.00 to her account.,14a,Customer is disputing the annual fee of $240.00. She stated she was informed the fees will be $40.00 for the life of the account.Annual feeApologised to customer and informed her the charges are valide. However as once off goodwill gesture I will apply a credit of $200.00 to her account.14a,1.0,0.0
2398,COM-103380,COM-103380_1,advised incorrect information.,Customer was not advised with the payout figure when she called MCS to close the EMA. She was advised to transfer the balance instead. She would like the account closed and outstanding interest reimbursed.,"apologised, gwg to cover owing interest because customer has a lot of lending with ANZ",33,"Customer was not advised with the payout figure when she called MCS to close the EMA. She was advised to transfer the balance instead. She would like the account closed and outstanding interest reimbursed.advised incorrect information.apologised, gwg to cover owing interest because customer has a lot of lending with ANZ33",1.0,0.0
2461,COM-103487,COM-103487_1,Telstra payment of phone bill has been considered as a cash advance and a fee and interest of $3.15 has been charged on the account on 18/9/2017,Customer called in to complain about the $3.06 cash advance fee that was charged on his most recent statement for a Telstra bill he paid from his credit card. Customer has also been charged a 9 cents interest for that payment. Customer is confused and upset about this fee and would like it reversed.,Apologised to the customer and advised him payment of phone bills is normal no considered a cash advance however it depends on how he made the payment and how it was processed. Advised him to talk to Telstra and get an understanding about the payment options with them meanwhile as gwg I will refund the $3.15 charge on the account.   customer was happy with the resolution reversal arranged today.,14a,Customer called in to complain about the $3.06 cash advance fee that was charged on his most recent statement for a Telstra bill he paid from his credit card. Customer has also been charged a 9 cents interest for that payment. Customer is confused and upset about this fee and would like it reversed.Telstra payment of phone bill has been considered as a cash advance and a fee and interest of $3.15 has been charged on the account on 18/9/2017Apologised to the customer and advised him payment of phone bills is normal no considered a cash advance however it depends on how he made the payment and how it was processed. Advised him to talk to Telstra and get an understanding about the payment options with them meanwhile as gwg I will refund the $3.15 charge on the account.   customer was happy with the resolution reversal arranged today.14a,1.0,0.0
2542,COM-103678,COM-103678_2,Credit Card account not closed due to credit balance on the account,Customer not happy that their ANZ First Free Days Credit Card is still open and that a transaction has been allowed to process on the closed account. Customer claims that she has never used the Merchant in question and wants the account closed and the balance owing written off.,As the account should have been closed by ANZ but wasn't due to an ANZ system error advised will credit the amount owing on her account back so that the balance goes to zero. Once done Customer will receive a final statement in the mail showing a zero balance which is confirmation that the account is closed. Credited account $181.33 as a Once off Good Will Gesture to help close complaint.,33,Customer not happy that their ANZ First Free Days Credit Card is still open and that a transaction has been allowed to process on the closed account. Customer claims that she has never used the Merchant in question and wants the account closed and the balance owing written off.Credit Card account not closed due to credit balance on the accountAs the account should have been closed by ANZ but wasn't due to an ANZ system error advised will credit the amount owing on her account back so that the balance goes to zero. Once done Customer will receive a final statement in the mail showing a zero balance which is confirmation that the account is closed. Credited account $181.33 as a Once off Good Will Gesture to help close complaint.33,1.0,1.0
2549,COM-103696,COM-103696_1,Card closed without customer's authorisation,Customer's credit card was closed without his authorisation. Now he has been advised to re-apply to get  new card.,"feedback provided, and apologised",33,"Customer's credit card was closed without his authorisation. Now he has been advised to re-apply to get  new card.Card closed without customer's authorisationfeedback provided, and apologised33",1.0,0.0
2748,COM-104138,COM-104138_1,Complete product disclosure not advised to the customer. He thought it was a business term deposit not personal account.,"Registration* Customer states his Term deposit has been opened incorrectly by ANZ in his personal name instead of the business name of SPS & BKS Family Superfund. He would like a letter from ANZ confirming the interest earned of $6,241.00 was for his Superfund and not his personal earnings. He had raised his concerns at the ANZ Watergardens branch and over the phone. He was assured that the account is in his Superfund name. He states his personal TFN may have been added to the Superfund term deposit.","Acknowledged the concerns raised and apologised for the inconvenience caused in relation to the opening of the Term deposit. Our records indicate the ANZ Advance Notice Term deposit was opened on 29 July 2016 under his name. The funds of $416,245.18 used to facilitate the opening of the account were from his ANZ Business Premium Saver account held in the name of SPS &BKS Family Superannuation Fund. On 31 January 2017, this term deposit matured and a total of $422,486.18 (Principal $416,245.18 and interest $6,241.00) was transferred back into the ANZ Business Premium Saver. Based on tha above, his personal accounts were not used to open the term deposit or on maturity. Due to the timeframe since the account was opened we are unable to obtain further details about the account opening from the Watergardens branch. In order to complete the amendment form and make necessary updates to our system, we require some further information from him. ANZ will contact him regarding this information shortly. Once the amendment is completed, ANZ will ensure that the document is received by our key contact at the ATO who deals with related matters for ANZ. This amendment will not correct any information that forms part of the ATO's prefilled service. It will however stop any automated audit letters. ANZ notes that any further actions in relation to the pre-filled and/or your respective individual tax issues information is between him and the ATO.***""Other prod, service or commercial res provided (Resolved by FSP) & Resolved by FSP "".",18.2,"Registration* Customer states his Term deposit has been opened incorrectly by ANZ in his personal name instead of the business name of SPS & BKS Family Superfund. He would like a letter from ANZ confirming the interest earned of $6,241.00 was for his Superfund and not his personal earnings. He had raised his concerns at the ANZ Watergardens branch and over the phone. He was assured that the account is in his Superfund name. He states his personal TFN may have been added to the Superfund term deposit.Complete product disclosure not advised to the customer. He thought it was a business term deposit not personal account.Acknowledged the concerns raised and apologised for the inconvenience caused in relation to the opening of the Term deposit. Our records indicate the ANZ Advance Notice Term deposit was opened on 29 July 2016 under his name. The funds of $416,245.18 used to facilitate the opening of the account were from his ANZ Business Premium Saver account held in the name of SPS &BKS Family Superannuation Fund. On 31 January 2017, this term deposit matured and a total of $422,486.18 (Principal $416,245.18 and interest $6,241.00) was transferred back into the ANZ Business Premium Saver. Based on tha above, his personal accounts were not used to open the term deposit or on maturity. Due to the timeframe since the account was opened we are unable to obtain further details about the account opening from the Watergardens branch. In order to complete the amendment form and make necessary updates to our system, we require some further information from him. ANZ will contact him regarding this information shortly. Once the amendment is completed, ANZ will ensure that the document is received by our key contact at the ATO who deals with related matters for ANZ. This amendment will not correct any information that forms part of the ATO's prefilled service. It will however stop any automated audit letters. ANZ notes that any further actions in relation to the pre-filled and/or your respective individual tax issues information is between him and the ATO.***""Other prod, service or commercial res provided (Resolved by FSP) & Resolved by FSP "".18.2",1.0,0.0
2816,COM-104288,COM-104288_1,Account balance/closure,The account believed she had closed her credit account but it remains open and it has a balance of $67.21. The customer received a text notifying of the outstanding amount.,Reimbursed customer with $67.21 to bring the account balance to zero and close the account. Via vision credit.,33,The account believed she had closed her credit account but it remains open and it has a balance of $67.21. The customer received a text notifying of the outstanding amount.Account balance/closureReimbursed customer with $67.21 to bring the account balance to zero and close the account. Via vision credit.33,1.0,1.0
2934,COM-104510,COM-104510_1,Fixed rate different at drawdown.,Customer advised was not offered lock rate option prior to drawing down on his loan. Customer advised the broker advised him that he was not aware that the fixed rates were increasing,Apologised for the inconvenience. Educated customer on T&Cs and lock rate option. have poffered the lower rate if he accepts the $750.00 lock rate - closing case pending further contact,14a,Customer advised was not offered lock rate option prior to drawing down on his loan. Customer advised the broker advised him that he was not aware that the fixed rates were increasingFixed rate different at drawdown.Apologised for the inconvenience. Educated customer on T&Cs and lock rate option. have poffered the lower rate if he accepts the $750.00 lock rate - closing case pending further contact14a,1.0,0.0
