topic_num,document
1,"Velocity points  Customer applied online for ANZ Rewards Travel Adventures card to get 60,000 velocity points.   Customer was told by rewards he is not eligible for reward points.Velocity points eligibilityCA review  Customer not eligible for promotional points as only targeted customers are.   Offered previous offer of $225 on a good will basis  Apology"
1,"Velocity points  Customer applied online for ANZ Rewards Travel Adventures card to get 60,000 velocity points.   Customer was told by rewards he is not eligible for reward points.Velocity points eligibilityCA review  Customer not eligible for promotional points as only targeted customers are.   Offered previous offer of $225 on a good will basis  Apology"
1,"didn't have access to veloce lounge in Singapore and believes our website still shows its availabledidn't have access to veloce lounge in Singapore and believes our website still shows its availableCustomer Advocate; apology and offer of 20,000 points.    ducated on ts and cs sent letter with it attached and apologised for miscommunication"
1,"didn't have access to veloce lounge in Singapore and believes our website still shows its availabledidn't have access to veloce lounge in Singapore and believes our website still shows its availableCustomer Advocate; apology and offer of 20,000 points.    ducated on ts and cs sent letter with it attached and apologised for miscommunication"
1,"didn't have access to veloce lounge in Singapore and believes our website still shows its availabledidn't have access to veloce lounge in Singapore and believes our website still shows its availableCustomer Advocate; apology and offer of 20,000 points.    ducated on ts and cs sent letter with it attached and apologised for miscommunication"
1,"xxsocial media complaint.customer unhappy that informal overdraft didn't work, customer seeking to have guaranteed access to informal overdraft without taking out ANZ Assuredinformal overdraft not workingCustomer Advocate: provided information on both informal and ANZ Assured to make an informed decision as I cannot provide assurance that the informal overdraft will be available to her account on an ongoing basis. educated customer on informal overdraf"
1,"Customer applied for ANZ rewards travel Adventure card online through external website which had the offer for 40,000.00 velocity points along with other features. Customer has not received the velocity points and wanted to know if she can get that now.Customer wants 40,000 velocity points.Offered customer $150.00 as GWG and customer was happy with resolution. Approved by Nunes, Duchelle"
1,"Customer applied for ANZ rewards travel Adventure card online through external website which had the offer for 40,000.00 velocity points along with other features. Customer has not received the velocity points and wanted to know if she can get that now.Customer wants 40,000 velocity points.Offered customer $150.00 as GWG and customer was happy with resolution. Approved by Nunes, Duchelle"
2,"Customer has a safety deposit box which is going to be closed as per the email she received recently form ANZ. Customer lives in Los Angeles. Here is the third party signatory on the safety deposit box. Customer has spoken Angela about it who told her that she needs to print and sign POA form and other documents, sign, scan and email them back. Customer is sick, has recently has a surgery, cannot move out of house to access scanner or printer.  Customer not happy with the staff member's advice. Customer would like to have a resolution without she having to send anything and her father who is in Melbourne be allowed to act on behalf of her. Customer has mentioned that she will be down in December this year and she will resolve everything then.Safety deposit box closure issue.Apologised to the customer for the situation she is in and advised her that 28/09/17 is the last day ANZ will hold the contents of the box, after which Guardian Vaults will take over. I agree it should have been a welcoming conversation rather than how it was being interpreted.   I suggested to the customer that as her father has got access to the contents of the box, she can arrange with him to take out the contents now before the 28/09/17 and when she returns to Melbourne in December she can finalise and close the box.   Any fees that have been charged from today until she next contacts in December the Complaints will be happy to discuss."
2,"Customer has a safety deposit box which is going to be closed as per the email she received recently form ANZ. Customer lives in Los Angeles. Here is the third party signatory on the safety deposit box. Customer has spoken Angela about it who told her that she needs to print and sign POA form and other documents, sign, scan and email them back. Customer is sick, has recently has a surgery, cannot move out of house to access scanner or printer.  Customer not happy with the staff member's advice. Customer would like to have a resolution without she having to send anything and her father who is in Melbourne be allowed to act on behalf of her. Customer has mentioned that she will be down in December this year and she will resolve everything then.Safety deposit box closure issue.Apologised to the customer for the situation she is in and advised her that 28/09/17 is the last day ANZ will hold the contents of the box, after which Guardian Vaults will take over. I agree it should have been a welcoming conversation rather than how it was being interpreted.   I suggested to the customer that as her father has got access to the contents of the box, she can arrange with him to take out the contents now before the 28/09/17 and when she returns to Melbourne in December she can finalise and close the box.   Any fees that have been charged from today until she next contacts in December the Complaints will be happy to discuss."
2,"Customer has a safety deposit box which is going to be closed as per the email she received recently form ANZ. Customer lives in Los Angeles. Here is the third party signatory on the safety deposit box. Customer has spoken Angela about it who told her that she needs to print and sign POA form and other documents, sign, scan and email them back. Customer is sick, has recently has a surgery, cannot move out of house to access scanner or printer.  Customer not happy with the staff member's advice. Customer would like to have a resolution without she having to send anything and her father who is in Melbourne be allowed to act on behalf of her. Customer has mentioned that she will be down in December this year and she will resolve everything then.Safety deposit box closure issue.Apologised to the customer for the situation she is in and advised her that 28/09/17 is the last day ANZ will hold the contents of the box, after which Guardian Vaults will take over. I agree it should have been a welcoming conversation rather than how it was being interpreted.   I suggested to the customer that as her father has got access to the contents of the box, she can arrange with him to take out the contents now before the 28/09/17 and when she returns to Melbourne in December she can finalise and close the box.   Any fees that have been charged from today until she next contacts in December the Complaints will be happy to discuss."
2,Correspondence for customer sent to an address of which the customer doesn't live.Return Mail.letter sent
2,Correspondence for customer sent to an address of which the customer doesn't live.Return Mail.letter sent
2,"From QLS Supervision [mailtoSupervision@qls.com.au]  Sent Thursday, 28 June 2018 245 PM To Murphy, Helene Subject LYNCH & CO AND LYNCH MORGAN LAWYERS Request to close trust accounts  Good afternoon,  LYNCH & CO  TRUST ACCOUNT NO. 014002-288236214 LYNCH MORGAN LAWYERS  TRUST ACCOUNT NO. 014002-288235609  Please find attached letter of instruction from the Receivers of the abovementioned trust accounts.  Regards"
2,"Feedback   Subject After hours ATM - Glenferrie Road Malvern  I write to you in relation to an issue that has arisen with the ""after hours access"" to the ANZ automatic teller machine on Glenferrie road Malvern. On Saturday evening at around 8pm a friend of mine needed to take money out of her ANZ account. We drove to the ATM on Glenferrie Road Malvern in order to do so. When she accessed the machine, which required her to walk through some automatic doors, she noticed a person sleeping in the area near the machine. She felt nervous while she was using the machine and although she was able to withdraw the money she needed she continued to feel very uneasy until she was able to get back into the car. My concern with all this is that by having the machines off the street and accessed using automatic doors that do not require a card to open them that it's a prime target for a robbery. While there is security cameras in the area this is of little comfort to someone who is using the machine. A potential thief can gain automatic access to the area and commit a crime without anyone in the general public realising it. This is of even more of a concern late at night when there is no one around. Surely these areas should only be accessible by holders of ANZ cards and the automatic doors should only open when an authorised card has been swiped. With the latest technology available it is incredible that ANZ has been unable to provide a secure facility for customers to use and I am disappointed that I am having to raise this complaint.Simple Complaint actioned by BLR - Template 03 FeedbackSimple Complaint actioned by BLR - Template 03 Feedback"
2,"Feedback   Subject After hours ATM - Glenferrie Road Malvern  I write to you in relation to an issue that has arisen with the ""after hours access"" to the ANZ automatic teller machine on Glenferrie road Malvern. On Saturday evening at around 8pm a friend of mine needed to take money out of her ANZ account. We drove to the ATM on Glenferrie Road Malvern in order to do so. When she accessed the machine, which required her to walk through some automatic doors, she noticed a person sleeping in the area near the machine. She felt nervous while she was using the machine and although she was able to withdraw the money she needed she continued to feel very uneasy until she was able to get back into the car. My concern with all this is that by having the machines off the street and accessed using automatic doors that do not require a card to open them that it's a prime target for a robbery. While there is security cameras in the area this is of little comfort to someone who is using the machine. A potential thief can gain automatic access to the area and commit a crime without anyone in the general public realising it. This is of even more of a concern late at night when there is no one around. Surely these areas should only be accessible by holders of ANZ cards and the automatic doors should only open when an authorised card has been swiped. With the latest technology available it is incredible that ANZ has been unable to provide a secure facility for customers to use and I am disappointed that I am having to raise this complaint.Simple Complaint actioned by BLR - Template 03 FeedbackSimple Complaint actioned by BLR - Template 03 Feedback"
2,Customer is not happy he is not receiving his paper statements regularly.Customer is not recieving paper statementsHave apologised for the inconvenience. Advised we have taken steps to resolve the issue and fortnightly statements should be posted moving forward. have advised customer to continue to keep an eye on them to ensure they are being received. He was ok with this
2,"We had financial difficulty in making repayments on our investment property due to not having a tenant for several months in 2016 & my wife having to go onto disability payments. We still currently have that property (92 Playford Avenue, Whyalla) for sale, but with the current state the town is in the market has severely declined. We requested extra time to sell the property & launched a FOS dispute (case number 4605079) & got extra time to sell this property. Unfortunately we were unable to secure a buyer & ANZ recommenced action to recoup the arrears. Due to the market in Whyalla we were told by our real estate agent, Peter Callis First National, that it may still be a while until we get a sale. We advised ANZ (through their solicitor) on 17 May 2017 that we would now put our principal place of residence (14 Cobbin Street, Port Augusta West) up for sale in order to come up with the arrears We believe this property has a greater chance of selling as the economic climate is more attracLoan hardship FOSCust accepted revised offer to clear arrears within 30 days and ANZ to waive about half enforcement exp"
2,customer has done 2 balance transfers and was advised that all 2 BT will be expiring on 26/12/18 as this was the information provided to ANZ when customer did the balance transfer customer is seeking this to be further investigated and all BT to finish the same date.misinformation provided on balance transferLetter has been sent to customer that the goodwill gesture cannot be transferred to his balance transfer plan
2,LOA advised customer has funds and wanting to clear the arrears. LOA advised Dentons lawyers are delaying the process and not responding to customer.LOA advised customer has funds and wanting to clear the arrears.Spoke to mahoneye @IAM who advised Customer has advised ANZ on 12/04/2018 to advise she has $10k to clear the arrears and will maintain regular payments moving forward. mahoneye @IAM advised ANZ has accepted this arrangement from customer and have advised Dentons lwyers. Information can be advised to LOA
2,LOA advised customer has funds and wanting to clear the arrears. LOA advised Dentons lawyers are delaying the process and not responding to customer.LOA advised customer has funds and wanting to clear the arrears.Spoke to mahoneye @IAM who advised Customer has advised ANZ on 12/04/2018 to advise she has $10k to clear the arrears and will maintain regular payments moving forward. mahoneye @IAM advised ANZ has accepted this arrangement from customer and have advised Dentons lwyers. Information can be advised to LOA
2,Balance transfer done with 3% balance transfer fee. customer does not recall of going through terms and condition about mentioning 3% balance transfer fee.  Customer would like to go through call recordingbalance transfer done with 3% fee customer not aware about accepting or listening about that fee in terms and conditions for balance transferreversed $705.57 on customers credit card. told customer about that its 3% balance transfer fee
2,Balance transfer done with 3% balance transfer fee. customer does not recall of going through terms and condition about mentioning 3% balance transfer fee.  Customer would like to go through call recordingbalance transfer done with 3% fee customer not aware about accepting or listening about that fee in terms and conditions for balance transferreversed $705.57 on customers credit card. told customer about that its 3% balance transfer fee
2,Balance transfer done with 3% balance transfer fee. customer does not recall of going through terms and condition about mentioning 3% balance transfer fee.  Customer would like to go through call recordingbalance transfer done with 3% fee customer not aware about accepting or listening about that fee in terms and conditions for balance transferreversed $705.57 on customers credit card. told customer about that its 3% balance transfer fee
2,Balance transfer done with 3% balance transfer fee. customer does not recall of going through terms and condition about mentioning 3% balance transfer fee.  Customer would like to go through call recordingbalance transfer done with 3% fee customer not aware about accepting or listening about that fee in terms and conditions for balance transferreversed $705.57 on customers credit card. told customer about that its 3% balance transfer fee
2,Balance transfer done with 3% balance transfer fee. customer does not recall of going through terms and condition about mentioning 3% balance transfer fee.  Customer would like to go through call recordingbalance transfer done with 3% fee customer not aware about accepting or listening about that fee in terms and conditions for balance transferreversed $705.57 on customers credit card. told customer about that its 3% balance transfer fee
2,Customer was given a large credit card limit whilst still a uni student. ANZ has not switched off interest on the card whereas other banks have. Customer is claiming maladminCredit card maladminPayment plan $90 p/m and $1k compo
2,Customer was given a large credit card limit whilst still a uni student. ANZ has not switched off interest on the card whereas other banks have. Customer is claiming maladminCredit card maladminPayment plan $90 p/m and $1k compo
3,lost moniesLost fundsapology
3,Customer deposited funds via a Smart ATM on the 17/05/2018. Customer advised that she deposited a $70 cheque and $450 in cash (9 X $50). The payment was reversed and then the $70 cheque was re-debited to the account. The $450 in cash was never returned. Carbe has been ongoing for a month and customer just wants the funds to be returned.Disputed transaction/deposit not credited back to the customer.$450 compensation for the customer for funds lost depositing funds in to a Smart ATM
3,Customer deposited funds via a Smart ATM on the 17/05/2018. Customer advised that she deposited a $70 cheque and $450 in cash (9 X $50). The payment was reversed and then the $70 cheque was re-debited to the account. The $450 in cash was never returned. Carbe has been ongoing for a month and customer just wants the funds to be returned.Disputed transaction/deposit not credited back to the customer.$450 compensation for the customer for funds lost depositing funds in to a Smart ATM
3,"International draft on 17/02/2017 for $233.29, cheque lost and funds withdrawn out of their account on the 04/04/2017. Please refer to ICM 977014 for further details.lost chequePlease refer to ICM 977014 for further details."
3,"International draft on 17/02/2017 for $233.29, cheque lost and funds withdrawn out of their account on the 04/04/2017. Please refer to ICM 977014 for further details.lost chequePlease refer to ICM 977014 for further details."
3,Missing Deposit - No response to emailsmissing cheque deposit from 08/11/2016Goodwill payment of $95.00
3,"Customer deposited a $590.24 cheque over the branch counter into her ANZ Business Advantage account, but the amount hasn't cleared yet. She'd like the amount to be cleared as quickly as possible.cheque yet to clear$590.24 cheque cleared for the customer"
3,"customer complaint is due to a missing deposit enquiry. customer states she deposited $21,435 cash and a 180 dollar cheque on 17/01/18 and the funds still have reached her accountcustomer unhappy that missing deposit is still missingletter sent to customer apologizing for the inconvenience and advising of why her deposit was delayed"
3,Customer has an ANZ bank cheque for refund from 2014- ANZ had to send out multple cheques due to them being lost and then branch would not cash the cheques.ANZ bank cheque from 2014 - cus cannot deposit into online account.offered goodwill cr of $50.00 -cus accepted sent letter of apology
3,"missing cheque amount of $208042.22 - customer advised solicitor paid a bank check to his account and hasn't received the funds.missing settlement cheque from selling of their propertycustomer didn't have cheque banked, anz branch lost batching cheque bag and we have located funds and are in customers account."
3,missing interest from his term deposit.term depositas poor customer experience . processing a good will credit of $200 to customers account.
3,customer could not deposit cheque of only his name into joint accountCustomer could not deposit cheque addressed to him only in a joint accountRESOLUTION  Educated customer on depositing cheques to a joint account Letter of apology issued
3,Customer advised that the branch lost her chequeLost cheque by branchGWG as approved by SO
3,Customer receievd a cheque for USD200.00 from a relative and the cheque was banked to his account for $233.29. The cheque was later declared lost by the bank and the funds subsequently withdrawn from client account.USD cheque lost by ANZBranch manager has refunded account
3,"Customer deposited cheque of $11,570 into his account. Customer alleges funds cleared 27/6/17, and hence he moved funds out of the account.  DN listed on system shows cheque dishonored by WBC 27/6/17. Customer has accused ANZ of fraud by clearing the funds and then taking the funds away. Customer is seeking payment of the $11,570.Cheque cleared as per special clearance request in branch. Cheque dishonoured.Apologised, educated customer to special clearance of cheques."
3,Customer called in regard to clearance cheque issue. customer deposited cheque to ofi on fast clearance . its been 3 days its not cleared. customer stating that ofi told that ANZ is stopping to clear the funds.customer having issued with the cheque clearenceConfirmed with customer cheque cleared and funds available.
3,"customer has had dishonored cheques presented to his account, ANZ has allowed him to withdraw the funds and then cheque has dishonoured, customer states unclear funds and then cheque was not checked is not his fault.customer has had dishonoured cheques presented to his account, ANZ has allowed him to withdraw the funds and then cheque has dishonoured, customer states unclear funds and then cheque was not checked is not his fault.apologised a d educated customer on process sent letter"
3,customer has had a release settlement 11173730 customer is unhappy as his funds aren't cleared and cant get through to appropriate departmentcustomer wants special clearance on bank cheque from settlementget the cheque cleared by NSF
3,"customer has had dishonored cheques presented to his account, ANZ has allowed him to withdraw the funds and then cheque has dishonoured, customer states unclear funds and then cheque was not checked is not his fault.customer has had dishonoured cheques presented to his account, ANZ has allowed him to withdraw the funds and then cheque has dishonoured, customer states unclear funds and then cheque was not checked is not his fault.good will credit to customer and apologised for the inconveniences."
3,"Customer is unhappy with the delay on cheque. customer wants to pick up the cheque for the term deposit from ANZ branch. customer has received the cheque as of 24 august. Customer is raising a concern in regards to future interest payments.delay in cheque for term deposit interestDiscussed the matter with the customer, customer received the cheque in the interim. I advised not possible for ANZ to deposit funds in an ofi account and can go in to ANZ branch to discuss any changes done to the term deposit.   Letter sent advising the discussion and further points"
4,"interestSituationCustomer lodged a complaint ref 1003004 he wants to understand how interest works and advised he got more interest debited on the second part of the 26/12/2017 than24/01/2018   even though the balance was less ON ANZ LOW RATE ending 7310Situation Customer lodged a complaint ref 1003004 he wants to understand how interest works and advised he got more interest debited on the second part of the 26/12/2017 than24/01/2018   even though the balance was less ON ANZ LOW RATE ending 7310 Task Educate the customer how interest works Action Educated the customer how interest works and actioned interest for $12.50 which did not credit on a previous complain, customer accepts the resolution and the case closure.  Resolution  Apologised for the inconvenience this matter has caused and empathised with the customer we were unable to locate file and the staff could not recall speaking with the customer, Educated the customer how interest works and actioned interest for $12.50 which did not credit on a previous complain, customer accepts the resolution and the case closure."
4,Situation  Customer called and id she advised she has not been credited  the $30.00 good will payment to resolve the complaint. Apologised for the inconvenience and advised if staff not in I will approve and action the request today as the case manger is not rostered today approved a once off good will payment as this was the agreed resolution from the case manager and has not been creditedcustomer unhappy with her advanced notice term deposit wanted to break and states she wasn't advised of the feeTRANSACTION SAVED SUCCESSFULLY. TRANSACTION NUMBER = 201803006741 $30.00 RESOLVED 5/03/2018 Apologised for the inconvenience this matter has caused and empathised with the customer the good will payment was not actioned approved and credited $30.00 into   ANZ Online saver ending 8545 to resolve complaint customer accepts the resolution and the case closure
4,"Customer advised she has been debited bank fees on  ANZ Pensioner Advantage account ending 0568 fees $5.00 service fee since 2005 Seeking all fees waivedAccount service feeResolution  Apologised for the inconvenience this matter has caused and empathised with the customer the waiver was not loaded, approved $240.00 as a once off and final gesture of good will.  TRANSACTION SAVED SUCCESSFULLY. TRANSACTION NUMBER = 201802038867 $240.00 RESOLVED 20/02/2018 Customer accepts the resolution and the case closure"
4,"Dear Sir Madam, when this car loan was applied for it was supposed to be under my ex-partners name, we were informed that because my ex-partner did not have a current Australian drivers license he could not get the car loan. The loan was put under my name HOWEVER the repayment of the loan was not my responsibility or my liability. PLEASE CHECK THE BANK ACCOUNT USED FOR THE DIRECT DEBITS TO THIS LOAN FROM IT'S INCEPTION - This will show that the complete liability for this was with my ex-partner. When we separated my ex-partner kept the car and stuck me with the loan. I suffered significant financial hardship during this time and even applied for an official hardship agreement. I was literally unable to reinstate full payment as my circumstances didn't change. I never intended to default on this. The debt wasn't even mine! This is completely unfair.Esanda loan has been defaulted to her but she does not own the carremove default listings and waive debt in full"
4,"Dear Sir Madam, when this car loan was applied for it was supposed to be under my ex-partners name, we were informed that because my ex-partner did not have a current Australian drivers license he could not get the car loan. The loan was put under my name HOWEVER the repayment of the loan was not my responsibility or my liability. PLEASE CHECK THE BANK ACCOUNT USED FOR THE DIRECT DEBITS TO THIS LOAN FROM IT'S INCEPTION - This will show that the complete liability for this was with my ex-partner. When we separated my ex-partner kept the car and stuck me with the loan. I suffered significant financial hardship during this time and even applied for an official hardship agreement. I was literally unable to reinstate full payment as my circumstances didn't change. I never intended to default on this. The debt wasn't even mine! This is completely unfair.Esanda loan has been defaulted to her but she does not own the carremove default listings and waive debt in full"
4,"Dear Sir Madam, when this car loan was applied for it was supposed to be under my ex-partners name, we were informed that because my ex-partner did not have a current Australian drivers license he could not get the car loan. The loan was put under my name HOWEVER the repayment of the loan was not my responsibility or my liability. PLEASE CHECK THE BANK ACCOUNT USED FOR THE DIRECT DEBITS TO THIS LOAN FROM IT'S INCEPTION - This will show that the complete liability for this was with my ex-partner. When we separated my ex-partner kept the car and stuck me with the loan. I suffered significant financial hardship during this time and even applied for an official hardship agreement. I was literally unable to reinstate full payment as my circumstances didn't change. I never intended to default on this. The debt wasn't even mine! This is completely unfair.Esanda loan has been defaulted to her but she does not own the carremove default listings and waive debt in full"
4,"Dear Sir Madam, when this car loan was applied for it was supposed to be under my ex-partners name, we were informed that because my ex-partner did not have a current Australian drivers license he could not get the car loan. The loan was put under my name HOWEVER the repayment of the loan was not my responsibility or my liability. PLEASE CHECK THE BANK ACCOUNT USED FOR THE DIRECT DEBITS TO THIS LOAN FROM IT'S INCEPTION - This will show that the complete liability for this was with my ex-partner. When we separated my ex-partner kept the car and stuck me with the loan. I suffered significant financial hardship during this time and even applied for an official hardship agreement. I was literally unable to reinstate full payment as my circumstances didn't change. I never intended to default on this. The debt wasn't even mine! This is completely unfair.Esanda loan has been defaulted to her but she does not own the carremove default listings and waive debt in full"
4,Situation  Customer called to advised good will payment $50.00 and $24.00 overdrawn fees has not been actioned - to resolve the complaint as case manager had approved advised will credit $74.00 via voucher todayCustomer is not happy with fees chargedTRANSACTION SAVED SUCCESSFULLY. TRANSACTION NUMBER = 201803005372 $74.00 Apologised for the inconveeicne this matter has caused and empathised with the customer explained the case manger has not been in office  action request to resolve the complaint and sent email to case manager. Customer accepts the resolution and the case closure.
4,"ANZ REWARDS account ending 0124 Trying to redeem 2x $50.00Unable to redeem vouchers $100.00Apologised for the inconvenience this matter has caused and empathised with the customer he is unable to redeem the points to resolve the complaint due to a loyal customer approve $100.00 once off good will payment, customer accepts the resolution and the case closure"
4,"ANZ REWARDS account ending 0124 Trying to redeem 2x $50.00Unable to redeem vouchers $100.00Apologised for the inconvenience this matter has caused and empathised with the customer he is unable to redeem the points to resolve the complaint due to a loyal customer approve $100.00 once off good will payment, customer accepts the resolution and the case closure"
4,"ANZ REWARDS account ending 0124 Trying to redeem 2x $50.00Unable to redeem vouchers $100.00Apologised for the inconvenience this matter has caused and empathised with the customer he is unable to redeem the points to resolve the complaint due to a loyal customer approve $100.00 once off good will payment, customer accepts the resolution and the case closure"
4,Situation Customer actioned an international transfer and was debited a $15.00 inward payment Customer is unhappy with the fee and feel it is unwarrantedBank fee $15.00Resolution TRANSACTION SAVED SUCCESSFULLY. TRANSACTION NUMBER = 201806030333 $15.00 Apologised for the inconvenience this matter has caused and educated the feed is valid will reverses the feed as a once off and final gesture of good will not repeats. Customer understands and accepts the resolution and the case closure
4,"Expired Reward points on ANZ REWARDS  account ending 2437  Seeking to redeem points 10,000Expired pointsApologised for the inconvenience this matter has caused and  empathised with the customer the points had expired, to resolve the complaint and as a final gesture of good will approved a $50.00 credit into the card. Customer accepts the resolution and the case closure."
4,"Expired Reward points on ANZ REWARDS  account ending 2437  Seeking to redeem points 10,000Expired pointsApologised for the inconvenience this matter has caused and  empathised with the customer the points had expired, to resolve the complaint and as a final gesture of good will approved a $50.00 credit into the card. Customer accepts the resolution and the case closure."
4,"Expired Reward points on ANZ REWARDS  account ending 2437  Seeking to redeem points 10,000Expired pointsApologised for the inconvenience this matter has caused and  empathised with the customer the points had expired, to resolve the complaint and as a final gesture of good will approved a $50.00 credit into the card. Customer accepts the resolution and the case closure."
4,"Baldivis 016010  ANZ PLATINUM  account ending 6049 ipt to ANZ REWARDS BLACK   account ending 4793  Seeking 75k ANZ rewardsIncorrect product disclosureApologised for the inconvenience this matter has caused and empathised with the customer he was given  incorrect information team leader authorised  75,000 ANZ Rewards points. Customer accepts the resolution and case closure  and advised may take up to the January 2018 statement to be allocated"
4,Situation Customer advised at account opening 5/02/2018 staff encouraged her to open ANZ One - cheque account ending 2502 and no $10.00 fee would be charged for the life of the account. When asked what she is seeking  customer advised it doesn't matter as she will be leaveing the bank to get a better rate anyway. Call was made to ANZ on her mobile.Incorrect product knowledge given to customer - not confirmedResolution TRANSACTION SAVED SUCCESSFULLY. TRANSACTION NUMBER = 201803025941 $110.00 COMPLAINT RESOLVED 13/03/2018 Apologised for the inconvenience this matter has caused and empathised with the customer after investigation she was given incorrect information. Customer accepts the resolution and the case closure.
4,Situation Customer advised at account opening 5/02/2018 staff encouraged her to open ANZ One - cheque account ending 2502 and no $10.00 fee would be charged for the life of the account. When asked what she is seeking  customer advised it doesn't matter as she will be leaveing the bank to get a better rate anyway. Call was made to ANZ on her mobile.Incorrect product knowledge given to customer - not confirmedResolution TRANSACTION SAVED SUCCESSFULLY. TRANSACTION NUMBER = 201803025941 $110.00 COMPLAINT RESOLVED 13/03/2018 Apologised for the inconvenience this matter has caused and empathised with the customer after investigation she was given incorrect information. Customer accepts the resolution and the case closure.
4,"Bonus interest not paid as a debit made from the account  - Progress Saver account ending 9775 from 1/12/2017 - 29/12/2017bonus interest not applied did not meet criteria funds with drawnTransaction saved successfully. Transaction Number = 201801010301 $336.00  Apologised for the inconvenience this matter has caused and empathised with the customer she did not get bonus interest, after investigation customer has opened up an ON LINE SAVER ACCOUNT . Approved as a once off and final good will payment $336.00. customer accepts the resolution and the case closure"
4,"Situation  Customer had  a cheque declined due to no mandate written on the cheque  $949.67 amount received after returned cheques was $838.41 seeking $111.00Cheques returnedResolution   Transaction saved successfully. Transaction Number = 201806059742 $111.00  Apologised fro the poor customer experience and ensured customer understood why the funds were dishonoured, customer long standing customer approved $111.00 as a once off gesture of good will . Customer accepts the resolution and the case closure"
5,No collections call for missing payment and Project sword/removal of Amex.missing payment and didn't receive a collections callmade non routine collections aware of no account details and also refunded $425 as gwg due to 20yrs customer loyalty.
5,No collections call for missing payment and Project sword/removal of Amex.missing payment and didn't receive a collections callmade non routine collections aware of no account details and also refunded $425 as gwg due to 20yrs customer loyalty.
5,The customer has an issue with a missing payment made to an account.missing payment.referred to customer solutions.
5,"Statement received,  Customer expecting to get statement for credit card  one month in advance to pay the billStatement due date. not giving one month time to pay billEducated customer about due date worked with credit card statement. It was part of T&C it will give up to 44 days interest free days.  I apologised that it wont give one month time to pay credit card bill."
5,customer complaint regarding 33 in arrears which she believes is due to a miscalculations as she has been paying her planned payments as calculated by anz hardship to ensure she doesn't fall into arrearaesanda arrears complaintcrediting customer $33 to resolve complaint of arrears
5,Customer unhappy about the statement not having a payment due date for her credit card statement for the period of 21/08/2017 to 18/09/2017. She is aware that there is no payment due however would like the payment due date to be mentioned on the statement so she knows which month it is for.No payment due date mentioned in the credit card.Apologised to the customer and advised that her feedback will be passed onto the relevant team for internal review.
5,Customer advised that he had requested to stop payment for a month across all loan accounts but the payments were processed yesterday after arrangements were made on 05/06.Customer requested for home loan payment to be stopped for a month but a withdrawal was processed from his savings accounts regardless.Referred customer to inbound collections to explore options for payment reversal.
