,ConcernID,IssueID,IssueDescription,ConcernDescription,ResolutionDescription,Clause,keyword_corpus,Breach,Predicted_Breach
539,COM-100631,COM-100631_1,closed DDA without notice and refused to open new account,Customer advised her online saver account was closed due to in activity. She spoke to a service consultant who advised they cannot reinstate the old account or open a new account for her.,"apologised for poor service, transfer to service to open new account and goodwill payment of $50.00 as customer has been with ANZ for over 20 years",33,"Customer advised her online saver account was closed due to in activity. She spoke to a service consultant who advised they cannot reinstate the old account or open a new account for her.closed DDA without notice and refused to open new accountapologised for poor service, transfer to service to open new account and goodwill payment of $50.00 as customer has been with ANZ for over 20 years33",1.0,0.0
662,COM-100820,COM-100820_1,Loan Insurance complaint.,The customer says she tried to close an insurance policy years ago but it remains active and the customer is still paying for it. The policy is actually an income insurance policy.,Referred to insurance.,33,The customer says she tried to close an insurance policy years ago but it remains active and the customer is still paying for it. The policy is actually an income insurance policy.Loan Insurance complaint.Referred to insurance.33,1.0,0.0
814,COM-101021,COM-101021_2,Novated lease not renewed under his business,"***ESANDA   Novated lease complaint    Customer contacted Esanda to discuss the expiry of the lease and whether it could be extended  A new application was started under his business to assist with his request, and the lady he spoke with has since gone on 6-month-annual-leave and now there is not application found on system  He is not happy with this poor service experience and he would like to go somewhere else. He asked for today's POF and it includes interest of 3 months, which he is not prepared to pay, given that he could have paid it off earlier if he had of known the novated lease could not be extended under his business","Apologised to the customer and advised customer will hold the payout figure of $21,760.00 and will waive the LDI's in light of what happened and will contact the sales team to get in touch with him to discuss the refinance and customer accepted the offer.",14a,"***ESANDA   Novated lease complaint    Customer contacted Esanda to discuss the expiry of the lease and whether it could be extended  A new application was started under his business to assist with his request, and the lady he spoke with has since gone on 6-month-annual-leave and now there is not application found on system  He is not happy with this poor service experience and he would like to go somewhere else. He asked for today's POF and it includes interest of 3 months, which he is not prepared to pay, given that he could have paid it off earlier if he had of known the novated lease could not be extended under his businessNovated lease not renewed under his businessApologised to the customer and advised customer will hold the payout figure of $21,760.00 and will waive the LDI's in light of what happened and will contact the sales team to get in touch with him to discuss the refinance and customer accepted the offer.14a",1.0,1.0
931,COM-101217,COM-101217_1,Account closure,Customer requesting closure of account.,Customer informed to visit a branch to contact us.,33,Customer requesting closure of account.Account closureCustomer informed to visit a branch to contact us.33,1.0,1.0
1033,COM-101346,COM-101346_1,incorrect information,Customer unhappy he attended narallen branch customers wife tried to deposit a cheque in her name into an account that she was third party signatory she was declined by the teller. Customer had already contacted ANZ visa online chat and confirmed this was possible,Apologised to customer for misinformation advised feeback will be given.,15,Customer unhappy he attended narallen branch customers wife tried to deposit a cheque in her name into an account that she was third party signatory she was declined by the teller. Customer had already contacted ANZ visa online chat and confirmed this was possibleincorrect informationApologised to customer for misinformation advised feeback will be given.15,1.0,0.0
1048,COM-101369,COM-101369_1,Breakfree Fee,"Seeking to have this one reviewed.  Broker loan however branch advised the client they are eligible to ANZ@WORK and created false expectation for the clients.  North Parramatta branch has since closed and merged into Parramatta, cost centre 2370000. Please have the first year Breakfree package refund it to client's account and advise all.",Apologised to the customer for the inconvenience and advised customer as a gesture of goodwill for the inconvenience caused i will credit him the $395.00 that was charged for the breakfree package to retain a new customer who has been banking with ANZ for less than a year,14a,"Seeking to have this one reviewed.  Broker loan however branch advised the client they are eligible to ANZ@WORK and created false expectation for the clients.  North Parramatta branch has since closed and merged into Parramatta, cost centre 2370000. Please have the first year Breakfree package refund it to client's account and advise all.Breakfree FeeApologised to the customer for the inconvenience and advised customer as a gesture of goodwill for the inconvenience caused i will credit him the $395.00 that was charged for the breakfree package to retain a new customer who has been banking with ANZ for less than a year14a",1.0,1.0
1050,COM-101369,COM-101369_1,Breakfree Fee,"Seeking to have this one reviewed.  Broker loan however branch advised the client they are eligible to ANZ@WORK and created false expectation for the clients.  North Parramatta branch has since closed and merged into Parramatta, cost centre 2370000. Please have the first year Breakfree package refund it to client's account and advise all.",Apologised to the customer for the inconvenience and advised customer as a gesture of goodwill for the inconvenience caused i will credit him the $395.00 that was charged for the breakfree package to retain a new customer who has been banking with ANZ for less than a year,14a,"Seeking to have this one reviewed.  Broker loan however branch advised the client they are eligible to ANZ@WORK and created false expectation for the clients.  North Parramatta branch has since closed and merged into Parramatta, cost centre 2370000. Please have the first year Breakfree package refund it to client's account and advise all.Breakfree FeeApologised to the customer for the inconvenience and advised customer as a gesture of goodwill for the inconvenience caused i will credit him the $395.00 that was charged for the breakfree package to retain a new customer who has been banking with ANZ for less than a year14a",1.0,1.0
1059,COM-101378,COM-101378_2,misleading information,"Customer has recently opened an ANZ Travel card where he was informed he was able to check the balances whilst overseas via ATM. Customer was travelling to Thailand and was informed by their bank that due to security reasons, balances are no longer provided. Customer is unsatisfied about the misleading information, as well as the conversion loss he has incurred. Customer would like us to investigate further for him.","I apologised to customer for any inconvenience experienced, I advised customer his feedback will be addressed with the relevant business areas for internal review. I advised customer card is subject to the conversion differences which alters day to day. Given inconvenience caused to the customer I offered $275.00 to resolve complaint ? accepted. I advised customer to allow up to 2 business days for the funds. Case closed Kathirene.",14a,"Customer has recently opened an ANZ Travel card where he was informed he was able to check the balances whilst overseas via ATM. Customer was travelling to Thailand and was informed by their bank that due to security reasons, balances are no longer provided. Customer is unsatisfied about the misleading information, as well as the conversion loss he has incurred. Customer would like us to investigate further for him.misleading informationI apologised to customer for any inconvenience experienced, I advised customer his feedback will be addressed with the relevant business areas for internal review. I advised customer card is subject to the conversion differences which alters day to day. Given inconvenience caused to the customer I offered $275.00 to resolve complaint ? accepted. I advised customer to allow up to 2 business days for the funds. Case closed Kathirene.14a",1.0,1.0
1142,COM-101534,COM-101534_1,Fees,"My ANZ Black Visa card is paid by Direct DEBIT. I received an email end of AUg informing me that if I have not paid my account or the minimum to please pay. I checked my account and see that I have a direct debit and previous months all payment went thru. I also had a SMS to inform me of the same statement...that if I have not paid, I should pay. I was surprised as the card account had a direct payment. On 6/9 a staff called me and we discussed. I explained and she told me that on 28/8 when the bank tried the direct debit, the account had $6033.48 and the amount for direct debit is $7456.43. My savings account and cheque acount both combined had more than $20,000. If the message has been more descriptive, I would have transfered and paid. The Call centre person agreed that it was not fair to charge me the late payment and the interest charge - $20 and $220.21. But today I see that these 2 charges remain whereas she has taken the payment of $7456.43. I find that this is not fair as I have been a good customer for ANZ and I have many different investment loans and margin loans with ANZ bank. If this is not resolved and I am penalized with the late payment and interest charge, I will close all my account just because ANZ bank charge me the $20 late fees and the interest rate of $220. They should have better messages and the curtesy to explain and ring me when they were going to charge me instead of after the fact. Many banks would love to have me as their customers.",Reimbursed $260.00 to cover the fees and any incurring interest.,15,"My ANZ Black Visa card is paid by Direct DEBIT. I received an email end of AUg informing me that if I have not paid my account or the minimum to please pay. I checked my account and see that I have a direct debit and previous months all payment went thru. I also had a SMS to inform me of the same statement...that if I have not paid, I should pay. I was surprised as the card account had a direct payment. On 6/9 a staff called me and we discussed. I explained and she told me that on 28/8 when the bank tried the direct debit, the account had $6033.48 and the amount for direct debit is $7456.43. My savings account and cheque acount both combined had more than $20,000. If the message has been more descriptive, I would have transfered and paid. The Call centre person agreed that it was not fair to charge me the late payment and the interest charge - $20 and $220.21. But today I see that these 2 charges remain whereas she has taken the payment of $7456.43. I find that this is not fair as I have been a good customer for ANZ and I have many different investment loans and margin loans with ANZ bank. If this is not resolved and I am penalized with the late payment and interest charge, I will close all my account just because ANZ bank charge me the $20 late fees and the interest rate of $220. They should have better messages and the curtesy to explain and ring me when they were going to charge me instead of after the fact. Many banks would love to have me as their customers.FeesReimbursed $260.00 to cover the fees and any incurring interest.15",1.0,1.0
1453,COM-102014,COM-102014_1,Account not closed and now in collections by $59.28.,Registration 14/09/2017. Customer concerned with account that he thought he closed which is now in collections for $59.28. Account was meant to be closed in April 2017.,Offer to credit closing balance and transfer $150 as full final settlement with ANZ.  19 September 2017 - $150 payed to OFI Bank.  20 September 2017 - $59.28 closing account balance,33,Registration 14/09/2017. Customer concerned with account that he thought he closed which is now in collections for $59.28. Account was meant to be closed in April 2017.Account not closed and now in collections by $59.28.Offer to credit closing balance and transfer $150 as full final settlement with ANZ.  19 September 2017 - $150 payed to OFI Bank.  20 September 2017 - $59.28 closing account balance33,1.0,1.0
1627,COM-102267,COM-102267_1,"Offset account was not closed as initially asked, received statement displaying monthly account fee being charged.",Customer closed account on 31 May 2017. Received statement still showing account fees.,Apologised to customer and sent resolution offer letter to Kim Mason's mailing address offering $250.00 to resolve dispute and close the related account.,33,"Customer closed account on 31 May 2017. Received statement still showing account fees.Offset account was not closed as initially asked, received statement displaying monthly account fee being charged.Apologised to customer and sent resolution offer letter to Kim Mason's mailing address offering $250.00 to resolve dispute and close the related account.33",1.0,1.0
1648,COM-102302,COM-102302_1,Bank fee Annul fee,Customer is upset in the Credit card Annual fee increase  Long standing customer 31 years Customer advised was never notified of the increase  FREQUENT FLYER PLATINUM account ending 5951,"Apologised for the inconvenience this matter has caused and empathised with the customer in relation to the fee increase. Customer educated all customers were notified as well as the ANZ web site and all customers were sent notification via mail. To resolve the complaint and as a once off gesture off good will approved a once off good will part payment and advised customer he has 12 months to decide to change card type, or keep the card. Customer understands and accepts no fee further fee reversals for same and case resolution and case closure.",14a,"Customer is upset in the Credit card Annual fee increase  Long standing customer 31 years Customer advised was never notified of the increase  FREQUENT FLYER PLATINUM account ending 5951Bank fee Annul feeApologised for the inconvenience this matter has caused and empathised with the customer in relation to the fee increase. Customer educated all customers were notified as well as the ANZ web site and all customers were sent notification via mail. To resolve the complaint and as a once off gesture off good will approved a once off good will part payment and advised customer he has 12 months to decide to change card type, or keep the card. Customer understands and accepts no fee further fee reversals for same and case resolution and case closure.14a",1.0,1.0
1692,COM-102359,COM-102359_1,Customer requesting account closure,"TRANSACTION  The customer requested to keep her ANZ Progress Saver account open while she travelled overseas to the UK as her Australian wages were being credited to the account. The customer was advised that when she requested, the account would be closed and was provided an ANZ staff member?s email to process this.","I have issued the customer an email apologising for any inconvenience that may have been caused due to her account not being closed. I have advised the customer that I am unable to locate the name of the person who may have been assisting her. I will advise d that I am unable to organise the closure as the account has a positive balance of $254.75. I will ask the customer to provide another Australian Bank account to complete a web voucher into, or alternatively if she has an overseas bank account I will ask her to complete the transfer. I will mention she has an active CRN and she may be able to complete this through Internet Banking. Closing complaint pending additional contact.",33,"TRANSACTION  The customer requested to keep her ANZ Progress Saver account open while she travelled overseas to the UK as her Australian wages were being credited to the account. The customer was advised that when she requested, the account would be closed and was provided an ANZ staff member?s email to process this.Customer requesting account closureI have issued the customer an email apologising for any inconvenience that may have been caused due to her account not being closed. I have advised the customer that I am unable to locate the name of the person who may have been assisting her. I will advise d that I am unable to organise the closure as the account has a positive balance of $254.75. I will ask the customer to provide another Australian Bank account to complete a web voucher into, or alternatively if she has an overseas bank account I will ask her to complete the transfer. I will mention she has an active CRN and she may be able to complete this through Internet Banking. Closing complaint pending additional contact.33",1.0,1.0
1693,COM-102361,COM-102361_1,Breakfree package Terms and Conditions not clear- Rewards Fee charged when part of Breakfree package,"Customer stated he was provided with ANZ Frequent Flyer Platinum credit card, which would not be charged an annual fee conditional of him paying the Annual Breakfree package Fee. Customer says he has not been charged an annual credit card fee for approximately 20 years. In August 2017, the Applicant noticed that he had been charged an annual fee of $110. When he enquired, although ANZ was willing to waive the fee, he was told without explanation that the credit card would attract an annual fee on an ongoing basis. The Applicant is of the opinion that ANZ are providing misleading information to potential customers in the advertising of home loan stating that there will be no annual fee on the ANZ Frequent Flyer Platinum credit card. Applicant is also of the opinion that ANZ is in breach of the loan agreement. Applicant stated that nowhere in the agreement does it state that the annual Breakfree fee will attract additional credit card fees. This is supported by the precedent that no annual credit card fee had been charged in respect of the break free home loan package for approximately 20 years. Customer wants ANZ to confirm in writing that as long his Breakfree home loan is in place, he will not be charged any form of annual credit card fee. If ANZ intend to charge any future potential Breakfree home loan customers an annual ""frequent flyer awards"" fee, they should clearly identify this charge in the table of benefits summary included in their advertising material.","***Credited $220.00 to resolve matter and to avoid progressing further low value amount.**Apologised for inconvenience caused as a result of the Annual Rewards Fee being charged. Acknowledge he has not been charged the  Rewards Fee on his F FPlatinum credit card prior to 14/08/2017. a letter dated 15/03/2017 was sent to his mailing address, advising him that the Annual Account Fee will not be charged, however the Rewards Services Fee will be $55.00. If one is part of Breakfree Package, the Annual Account Fee is not charged, however Annual Rewards Fee of $55.00 per cardholder is still charged. In regards to table on the ANZ website which provides a summary of the Breakfree benefits, I have passed on feedback to the relevant area in relation to Rewards Fee not being mentioned. As we will not be able to place a waiver of Annual Rewards Fee on his F F Platinum credit card going forward, he is welcome to change credit card type to one that does not offer Rewards. Rewards Fee of $110.00 was reversed on 17/08/2017. willing to credit $220.00 to his ANZ credit card to  account for  Rewards Fee of $110.00 which will be charged in 2018 & 2019.Customer accepted resolution. Fos closed case.",15,"Customer stated he was provided with ANZ Frequent Flyer Platinum credit card, which would not be charged an annual fee conditional of him paying the Annual Breakfree package Fee. Customer says he has not been charged an annual credit card fee for approximately 20 years. In August 2017, the Applicant noticed that he had been charged an annual fee of $110. When he enquired, although ANZ was willing to waive the fee, he was told without explanation that the credit card would attract an annual fee on an ongoing basis. The Applicant is of the opinion that ANZ are providing misleading information to potential customers in the advertising of home loan stating that there will be no annual fee on the ANZ Frequent Flyer Platinum credit card. Applicant is also of the opinion that ANZ is in breach of the loan agreement. Applicant stated that nowhere in the agreement does it state that the annual Breakfree fee will attract additional credit card fees. This is supported by the precedent that no annual credit card fee had been charged in respect of the break free home loan package for approximately 20 years. Customer wants ANZ to confirm in writing that as long his Breakfree home loan is in place, he will not be charged any form of annual credit card fee. If ANZ intend to charge any future potential Breakfree home loan customers an annual ""frequent flyer awards"" fee, they should clearly identify this charge in the table of benefits summary included in their advertising material.Breakfree package Terms and Conditions not clear- Rewards Fee charged when part of Breakfree package***Credited $220.00 to resolve matter and to avoid progressing further low value amount.**Apologised for inconvenience caused as a result of the Annual Rewards Fee being charged. Acknowledge he has not been charged the  Rewards Fee on his F FPlatinum credit card prior to 14/08/2017. a letter dated 15/03/2017 was sent to his mailing address, advising him that the Annual Account Fee will not be charged, however the Rewards Services Fee will be $55.00. If one is part of Breakfree Package, the Annual Account Fee is not charged, however Annual Rewards Fee of $55.00 per cardholder is still charged. In regards to table on the ANZ website which provides a summary of the Breakfree benefits, I have passed on feedback to the relevant area in relation to Rewards Fee not being mentioned. As we will not be able to place a waiver of Annual Rewards Fee on his F F Platinum credit card going forward, he is welcome to change credit card type to one that does not offer Rewards. Rewards Fee of $110.00 was reversed on 17/08/2017. willing to credit $220.00 to his ANZ credit card to  account for  Rewards Fee of $110.00 which will be charged in 2018 & 2019.Customer accepted resolution. Fos closed case.15",1.0,1.0
