,ConcernID,IssueID,IssueDescription,ConcernDescription,ResolutionDescription,Clause,keyword_corpus,Breach,Predicted_Breach
338,COM-100307,COM-100307_1,Fee dispute,Customer is requesting us to fix the payment on her loan. They sold a property and proceeds were put into their loan. They wanted the interest and the payment reduced as discussed at Elizabeth St branch. Customer stated if this is not fixed they will be changing banks.,"Customer informed the early repayment fee was charged twice due to lump sum payment and change from Fixed rate to Variable rate. Customer informed we are unable to complete payment and restruction on the same day. Either restructure from Fixed to Variable is made or payment is made hence reason why the changes were made a day apart. Furthermore, the loan reduction was made however the charges were not taken into consideration. The loan administration and drawdown renewal fee is a valid fee. As a once off goodwill gesture I am willing to waive the fees of 209.53.",14a,"Customer is requesting us to fix the payment on her loan. They sold a property and proceeds were put into their loan. They wanted the interest and the payment reduced as discussed at Elizabeth St branch. Customer stated if this is not fixed they will be changing banks.Fee disputeCustomer informed the early repayment fee was charged twice due to lump sum payment and change from Fixed rate to Variable rate. Customer informed we are unable to complete payment and restruction on the same day. Either restructure from Fixed to Variable is made or payment is made hence reason why the changes were made a day apart. Furthermore, the loan reduction was made however the charges were not taken into consideration. The loan administration and drawdown renewal fee is a valid fee. As a once off goodwill gesture I am willing to waive the fees of 209.53.14a",0.0,0.0
363,COM-100330,COM-100330_2,Settlement statement not received.,"Customer is requesting a settlement statement, he has not received one and has been 2 weeks already. Customer not happy that the offset cheque account was frozen for a week due to Government fees, this had restricted him from being able to pay the loan balance down. Customer is wanting the settlement statement, will not pay anything towards the loan account until this is received and requests any interest not to be charged on the loan account until he has received this. Customer calculations advising of a shortfall of $1,500.00.","Settlement statement sent to the customer, I advise the customer to call back if he has any further enquiries relating to this matter. 4/10/2017 Customer informed the information provided on the disbursement letter for the purchase of the property is correct. There should be a second letter for the sale of the property which I will provide him in writing. Customer informed it provides breakdown of the fees which were as follows Total Funds Collected at Settlement $400,320.00 Credited to Account 2175-54696 $34,889.08 Credited to Account 2291-26111 $219,369.35 Credited to Account Credited to Account Credited to Account Credited to Account ANZ Discharge Production Fee $160.00 ANZ Settlement Fee $160.00 Discharge Registration Fee (For WA only) Surplus Funds (if any) Credited to Account 2291-26111 $145,741.57  In reference to delay in receiving the surplus. Funds are issued in the form of a cheque which takes time to process. However as a gesture of goodwill we will reverse the interest amount of $762.80 to the account. Customer confirmed he is satisfied with resolution.",14a,"Customer is requesting a settlement statement, he has not received one and has been 2 weeks already. Customer not happy that the offset cheque account was frozen for a week due to Government fees, this had restricted him from being able to pay the loan balance down. Customer is wanting the settlement statement, will not pay anything towards the loan account until this is received and requests any interest not to be charged on the loan account until he has received this. Customer calculations advising of a shortfall of $1,500.00.Settlement statement not received.Settlement statement sent to the customer, I advise the customer to call back if he has any further enquiries relating to this matter. 4/10/2017 Customer informed the information provided on the disbursement letter for the purchase of the property is correct. There should be a second letter for the sale of the property which I will provide him in writing. Customer informed it provides breakdown of the fees which were as follows Total Funds Collected at Settlement $400,320.00 Credited to Account 2175-54696 $34,889.08 Credited to Account 2291-26111 $219,369.35 Credited to Account Credited to Account Credited to Account Credited to Account ANZ Discharge Production Fee $160.00 ANZ Settlement Fee $160.00 Discharge Registration Fee (For WA only) Surplus Funds (if any) Credited to Account 2291-26111 $145,741.57  In reference to delay in receiving the surplus. Funds are issued in the form of a cheque which takes time to process. However as a gesture of goodwill we will reverse the interest amount of $762.80 to the account. Customer confirmed he is satisfied with resolution.14a",0.0,0.0
377,COM-100345,COM-100345_1,Poor service complaint.,Customer is unhappy with the service he has received in regards to a credit card application. Customer believes that he should not have to provide the information that this consultant advised him he will need. Customer also advised that he may not choose to open the account with ANZ now based on the poor service.,"Apologised for the poor exprience he has had and advised that i would pass the feedback on to the consultants manager. Thanked the customer for taking the time to pass this on also.  Customer happy with this, provided him with the ICM number.",15,"Customer is unhappy with the service he has received in regards to a credit card application. Customer believes that he should not have to provide the information that this consultant advised him he will need. Customer also advised that he may not choose to open the account with ANZ now based on the poor service.Poor service complaint.Apologised for the poor exprience he has had and advised that i would pass the feedback on to the consultants manager. Thanked the customer for taking the time to pass this on also.  Customer happy with this, provided him with the ICM number.15",0.0,0.0
404,COM-100392,COM-100392_1,Breakfree package fee.,Breakfree package fee was charged without the customers knowledge and it had left significantly short of funds as a result.,Reimbursed customer $500.00 as a goodwill gesture.,14a,Breakfree package fee was charged without the customers knowledge and it had left significantly short of funds as a result.Breakfree package fee.Reimbursed customer $500.00 as a goodwill gesture.14a,0.0,0.0
410,COM-100401,COM-100401_1,Reward points convert to cash back,customer has issues with converting the rewards point for $50.00 cash back,Goodwill payment of $50.00 processed to credit card,14a,customer has issues with converting the rewards point for $50.00 cash backReward points convert to cash backGoodwill payment of $50.00 processed to credit card14a,0.0,0.0
419,COM-100413,COM-100413_1,promised margin discount has not been applied to new lending,**Lending  Customer is not happy the margin discount (1.4%) promised by lender has not been applied to his new loan ***364 He was promised the interest will be backdated,Apologised for the inconvenience. Advised discount of -1.4% has been approved on his new loan and have submitted a request for it to be loaded and interest backdated accordingly. Customer happy with response.,14a,**Lending  Customer is not happy the margin discount (1.4%) promised by lender has not been applied to his new loan ***364 He was promised the interest will be backdatedpromised margin discount has not been applied to new lendingApologised for the inconvenience. Advised discount of -1.4% has been approved on his new loan and have submitted a request for it to be loaded and interest backdated accordingly. Customer happy with response.14a,0.0,0.0
421,COM-100416,COM-100416_1,quality of service,"Customer went into Patterson Lakes Branch (BSB 3472) on 30/08/2017 to close her access account. She waited for 30 minutes to receive assistance from a staff then she was referred to the Branch Manager. The Branch Manager did not greet her or make any eye contact with her and continued to work on his computer. When he was told she is closing her account, he told her to go to a teller without acknowledging her throughout the whole time.  She would like to have feedback provide to the Branch Manager",Apologised for bad experience and provided feedback via ICM.,33,"Customer went into Patterson Lakes Branch (BSB 3472) on 30/08/2017 to close her access account. She waited for 30 minutes to receive assistance from a staff then she was referred to the Branch Manager. The Branch Manager did not greet her or make any eye contact with her and continued to work on his computer. When he was told she is closing her account, he told her to go to a teller without acknowledging her throughout the whole time.  She would like to have feedback provide to the Branch Managerquality of serviceApologised for bad experience and provided feedback via ICM.33",0.0,0.0
463,COM-100489,COM-100489_1,Hardship,Customer wanted to stop payments on business loan for 2 months staff from Townsville 014730 Went to hardship and the paid it back  Went to buy a personal loan and was declined as the customer went into hardship   Seeking an investigation why the hardship team did not disclose  this would effect her lending and credit history,"Letter sent to customer advised feedback been given to the relevant areas for address, cant find declined application number to lodge corrections request if customer provides will reopen and lodge.",33,"Customer wanted to stop payments on business loan for 2 months staff from Townsville 014730 Went to hardship and the paid it back  Went to buy a personal loan and was declined as the customer went into hardship   Seeking an investigation why the hardship team did not disclose  this would effect her lending and credit historyHardshipLetter sent to customer advised feedback been given to the relevant areas for address, cant find declined application number to lodge corrections request if customer provides will reopen and lodge.33",0.0,0.0
478,COM-100510,COM-100510_1,Interest rate increase not competitive in the Western Australian market.,"Registration* Customer has been recently notified by ANZ about the increase in the interest rate on his ANZ residential investment property loan. The explaination provided was due to market conditions. He states the conditions are terrible at the moment in WA. He has never agreed to the increase in the rate. He feels trapped as cannot change banks. His repayments have increased from $1,372.53 to $1,522.32. This could potentially result in being unable to meet repayments.","Acknowledged the customer is unhappy with ANZs decision to increase the interest rate on his Investment property loan. His ANZ residential investment loan is on a variable interest rate. This rate can change at any time during the life of the loan and if this occurs, the amount of your repayments may need to change if he is to repay his loan within its agreed term. Please refer to page 8 and 33 of the ANZ Consumer Lending terms and conditions https//www.anz.com.au/content/dam/anzcomau/documents/pdf/consumer-lending-tc.pdf?MOD=AJPERES I have attached a copy of your letter of offer. Our records indicate on 13 July 2017, ANZ organised a discount of 1%p.a. on your loan which is presently interest only until 12 August 2021. On 7 September 2017, we have increased this margin discount to a total of 1.05%p.a. This has reduced the present rate to 5.21%p.a. This margin discount will increase to a total of 1.15%p.a. when the loan changes to principal and interest repayments. Should he be unable to still meet repayments, please complete the attached Statement of Financial position form and send it via return email.",14a,"Registration* Customer has been recently notified by ANZ about the increase in the interest rate on his ANZ residential investment property loan. The explaination provided was due to market conditions. He states the conditions are terrible at the moment in WA. He has never agreed to the increase in the rate. He feels trapped as cannot change banks. His repayments have increased from $1,372.53 to $1,522.32. This could potentially result in being unable to meet repayments.Interest rate increase not competitive in the Western Australian market.Acknowledged the customer is unhappy with ANZs decision to increase the interest rate on his Investment property loan. His ANZ residential investment loan is on a variable interest rate. This rate can change at any time during the life of the loan and if this occurs, the amount of your repayments may need to change if he is to repay his loan within its agreed term. Please refer to page 8 and 33 of the ANZ Consumer Lending terms and conditions https//www.anz.com.au/content/dam/anzcomau/documents/pdf/consumer-lending-tc.pdf?MOD=AJPERES I have attached a copy of your letter of offer. Our records indicate on 13 July 2017, ANZ organised a discount of 1%p.a. on your loan which is presently interest only until 12 August 2021. On 7 September 2017, we have increased this margin discount to a total of 1.05%p.a. This has reduced the present rate to 5.21%p.a. This margin discount will increase to a total of 1.15%p.a. when the loan changes to principal and interest repayments. Should he be unable to still meet repayments, please complete the attached Statement of Financial position form and send it via return email.14a",0.0,0.0
497,COM-100542,COM-100542_1,Account closure,The customer received a letter from ANZ stating all of her accounts will be closed under terms and conditions. The customer is not happy with the lack of information.,Declined request. Letter sent.,15,The customer received a letter from ANZ stating all of her accounts will be closed under terms and conditions. The customer is not happy with the lack of information.Account closureDeclined request. Letter sent.15,0.0,0.0
524,COM-100603,COM-100603_1,Marketing / layout of application for Frequent flyer promotion. The terms and conditions are hidden.,"Registration* Customer applied for an ANZ Frequent Flyer Black credit card online on 16 May 2017. The offer was an annual fee waiver, 75,000 bonus points, 75 status credits, lounge passes and overseas travel insurance which he expected to receive. He accessed the ANZ website via Facebook and there was no condition mention about the offer being unavailable to existing customers.  The application form had no question about eligiblity, the Subiaco branch he visited after receiving the card made no mention of the offer, the person who processed his application also didnt contact him to advise he is ineligible for the offer. Customer feels it is unreasonable to read all the terms and conditions online as they are hidden.","Apologised to the customer for the inconvenience caused in relation to the credit card offer advertised. ANZ prompts the applicant a number of times during the application process online to read the terms and conditions applicable. This is required to be accepted before the application is submitted.  There was no requirement for the branch or the Assessments team to advise him of the terms and conditions again. As he held an ANZ Frequent Flyer credit card at the time of the new application this made the account ineligible for the advertised offer. This doesnt affect the Qantas lounge passes or Overseas travel and medical insurance. The Annual fee is still waived for the 1st year as its due on/ around 6 June 2018. The account is ineligible for 75,000 bonus points but ANZ allocated this on 7 September 2017 based on his tenure and relationship with ANZ. The account is ineligible for 75 status credits and respectfully declined to apply this.***Case has been closed by FOS noting Closed Fast Track- Disconnitued./ Case was reopened by FOS then closed on 10 Nov 2017- noted closed by negotiation.",15,"Registration* Customer applied for an ANZ Frequent Flyer Black credit card online on 16 May 2017. The offer was an annual fee waiver, 75,000 bonus points, 75 status credits, lounge passes and overseas travel insurance which he expected to receive. He accessed the ANZ website via Facebook and there was no condition mention about the offer being unavailable to existing customers.  The application form had no question about eligiblity, the Subiaco branch he visited after receiving the card made no mention of the offer, the person who processed his application also didnt contact him to advise he is ineligible for the offer. Customer feels it is unreasonable to read all the terms and conditions online as they are hidden.Marketing / layout of application for Frequent flyer promotion. The terms and conditions are hidden.Apologised to the customer for the inconvenience caused in relation to the credit card offer advertised. ANZ prompts the applicant a number of times during the application process online to read the terms and conditions applicable. This is required to be accepted before the application is submitted.  There was no requirement for the branch or the Assessments team to advise him of the terms and conditions again. As he held an ANZ Frequent Flyer credit card at the time of the new application this made the account ineligible for the advertised offer. This doesnt affect the Qantas lounge passes or Overseas travel and medical insurance. The Annual fee is still waived for the 1st year as its due on/ around 6 June 2018. The account is ineligible for 75,000 bonus points but ANZ allocated this on 7 September 2017 based on his tenure and relationship with ANZ. The account is ineligible for 75 status credits and respectfully declined to apply this.***Case has been closed by FOS noting Closed Fast Track- Disconnitued./ Case was reopened by FOS then closed on 10 Nov 2017- noted closed by negotiation.15",0.0,0.0
555,COM-100641,COM-100641_1,lounge pass delays,Customer has applied for lounge pass more than a week ago on her ANZ Frequent Flyer Black card which she hasn't received it yet. Customer says she is flying on Monday for her honey moon trip and need the pass.,apologised for the inconvenience caused to her. Advised as per terms and conditions if the pass is lost in transit we are unable to reissue it again. Offered a credit of $395.00 as a gesture of goodwill to be credited to the card to resolve the complaint and she accepted it.,14a,Customer has applied for lounge pass more than a week ago on her ANZ Frequent Flyer Black card which she hasn't received it yet. Customer says she is flying on Monday for her honey moon trip and need the pass.lounge pass delaysapologised for the inconvenience caused to her. Advised as per terms and conditions if the pass is lost in transit we are unable to reissue it again. Offered a credit of $395.00 as a gesture of goodwill to be credited to the card to resolve the complaint and she accepted it.14a,0.0,0.0
560,COM-100645,COM-100645_1,Bonus Points,customer advised she has been misled by Shepparton Branch staff to IPT to ANZ REWARDS platinum for the 50000 Bonus Points.  Customer also stated the card she was inquiring was for Frequent flyer bonus points but the she was advised to apply for ANZ Rewards Platinum.,"apologised to customer for all the issues encountered. advised feedback will be passed on for it to be dealt internally. Customer stated she will apply for a new FFP card once approved she will close the Rewards.  Advised will waive the rewards fee to avoid any loss, explained I am unable to provide rewards(bonus) points since she is not eligible. however happy to place her back in the original position she was.  customer was very happy with the resolution however choose to apply for a new card and close the rewards card",14a,"customer advised she has been misled by Shepparton Branch staff to IPT to ANZ REWARDS platinum for the 50000 Bonus Points.  Customer also stated the card she was inquiring was for Frequent flyer bonus points but the she was advised to apply for ANZ Rewards Platinum.Bonus Pointsapologised to customer for all the issues encountered. advised feedback will be passed on for it to be dealt internally. Customer stated she will apply for a new FFP card once approved she will close the Rewards.  Advised will waive the rewards fee to avoid any loss, explained I am unable to provide rewards(bonus) points since she is not eligible. however happy to place her back in the original position she was.  customer was very happy with the resolution however choose to apply for a new card and close the rewards card14a",0.0,0.0
583,COM-100679,COM-100679_1,Dispute with promotion on new Rewards Black,"Customer applied for a card under an offer of 75,000 bonus points and a $250 Westfield Gift Card. Customer received the bonus points but did not receive the gift card. Customer would like the gift card issued.",Apologised to the customer for not receiving the voucher. I explained to the customer his card is set up with offer of 75K bonus points only. Explained it was one offer or the other. Customer is disputing this. I agreed to credit the customer $250 as good will gesture. Customer accepts.,14a,"Customer applied for a card under an offer of 75,000 bonus points and a $250 Westfield Gift Card. Customer received the bonus points but did not receive the gift card. Customer would like the gift card issued.Dispute with promotion on new Rewards BlackApologised to the customer for not receiving the voucher. I explained to the customer his card is set up with offer of 75K bonus points only. Explained it was one offer or the other. Customer is disputing this. I agreed to credit the customer $250 as good will gesture. Customer accepts.14a",0.0,0.0
589,COM-100703,COM-100703_1,Poor service,Customer has been to the Gladesville branch to request for a letter confirming he holds joint accounts with ANZ. He is unhappy with the service and attitude of the banker as she refused to assist him and referred him to the complaints team. He is also unhappy with the service provided byh the staff when his account was opened as all details of his were not entered in ANZ's systems.,Apologised to the customer and advised I would organise for the letter to be sent from the CRC. Advised feedback would be passed on to the branch for follow up. Customer happy with the resolution.,15,Customer has been to the Gladesville branch to request for a letter confirming he holds joint accounts with ANZ. He is unhappy with the service and attitude of the banker as she refused to assist him and referred him to the complaints team. He is also unhappy with the service provided byh the staff when his account was opened as all details of his were not entered in ANZ's systems.Poor serviceApologised to the customer and advised I would organise for the letter to be sent from the CRC. Advised feedback would be passed on to the branch for follow up. Customer happy with the resolution.15,0.0,0.0
608,COM-100738,COM-100738_1,Lost interest on cheque funds as branch could not deposit his cheque directly to the new online saver account - it needed to be deposited to the Access Advantage account,***Lost interest on funds   Customer is not happy his funds $200k will not have lost 3 days of accrued interest due to the cheque not being able to be directly deposited to his new Online Saver account  He had to deposit it to the Access Advantage account,Acknowledged his dissatisfaction where branch could not deposit the cheque funds to the new online saver  I understand and appreciate that he will not be accruing that higher rate on the online saver as advertised 2.55%  I will calculate the loss if interest and I am happy to credit him the difference of $42.20  Customer is happy with this resolution  case closed,15,***Lost interest on funds   Customer is not happy his funds $200k will not have lost 3 days of accrued interest due to the cheque not being able to be directly deposited to his new Online Saver account  He had to deposit it to the Access Advantage accountLost interest on cheque funds as branch could not deposit his cheque directly to the new online saver account - it needed to be deposited to the Access Advantage accountAcknowledged his dissatisfaction where branch could not deposit the cheque funds to the new online saver  I understand and appreciate that he will not be accruing that higher rate on the online saver as advertised 2.55%  I will calculate the loss if interest and I am happy to credit him the difference of $42.20  Customer is happy with this resolution  case closed15,0.0,0.0
614,COM-100746,COM-100746_1,bonus points,"Customer unhappy he has been advised by multiple people via telephone and in branch that he would be eligable for the bonus points however he is not, customer wants the 75,000 points allocated.","Apologised to customer advised will apply 75,000  bonus points as a good will gesture.",14a,"Customer unhappy he has been advised by multiple people via telephone and in branch that he would be eligable for the bonus points however he is not, customer wants the 75,000 points allocated.bonus pointsApologised to customer advised will apply 75,000  bonus points as a good will gesture.14a",0.0,0.0
626,COM-100756,COM-100756_1,"cheque coding error, incorrect amount sent to customer.",customer has deposited a Westpac bank cheque into an ANZ ATM into his account and was delayed due to a coding error and wants the funds in his account.,apologised to the customer and advised have now credited the account with the correct deposit amount. letter sent to advise,15,"customer has deposited a Westpac bank cheque into an ANZ ATM into his account and was delayed due to a coding error and wants the funds in his account.cheque coding error, incorrect amount sent to customer.apologised to the customer and advised have now credited the account with the correct deposit amount. letter sent to advise15",0.0,0.0
649,COM-100810,COM-100810_1,gift voucher not awarded,"Customer was not happy with not receiving gift voucher on her credit card after being promised, Customer has advised she contacted ANZ 3 times and was advised she was eligible for the voucher.   Customer is seeking the voucher to be processed",I apologised to the customer with the misinformation provided and educated the customer in relation to the IPT migration and promotional offers.  I offered customer a good will credit $250 and customer was happy with the resolution,14a,"Customer was not happy with not receiving gift voucher on her credit card after being promised, Customer has advised she contacted ANZ 3 times and was advised she was eligible for the voucher.   Customer is seeking the voucher to be processedgift voucher not awardedI apologised to the customer with the misinformation provided and educated the customer in relation to the IPT migration and promotional offers.  I offered customer a good will credit $250 and customer was happy with the resolution14a",0.0,0.0
